SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
1,L,2.0,11,2,9,E,,,,,,,,
1,S,,21,2,9,K,R,1,3,1,,,,
6,L,2.0,-1,,,,T,1,1,0,,,,
6,S,,21,1,15,D,,,,,,,,
6,F,0.0,11,3,1,E,,,,,,,,
6,S,,21,3,21,K,S,3,3,1,,,,
5,M,1.0,,,,,,,,,,E,13,
5,S,,21,2,9,D,,,,,,,,
5,L,2.0,11,1,-1,D,,,,,,,,
5,L,2.0,,,,,,,,,,D,13,9
5,F,0.0,9,3,13,D,,,,,,,,
5,L,2.0,,,,,,,,,,T,9,13
5,S,,21,1,15,E,,,,,,,,
5,S,,-1,,,,,,,,,,,
5,S,,15,1,9,B,,,,,,,,
5,S,,21,1,15,D,,,,,,,,
5,R,2.0,4,2,15,K,S,3,3,1,,,,
4,L,2.0,21,2,,,,,,,,,,
4,S,,15,0,15,D,,,,,,,,
4,R,2.0,,,,,,,,,,K,13,15
3,M,1.5,-1,,,,S,3,3,0,,,,
3,S,,15,0,-1,D,,,,,,,,
3,L,2.0,,,,,,,,,,T,13,4
3,S,,11,0,,,,,,,,,,
2,O,0.0,13,3,21,D,,,,,,,,
2,M,2.0,15,1,21,C,,,,,,,,
2,C,0.0,21,2,15,E,,,,,,,,
2,S,,15,1,21,K,S,2,2,1,,,,
1,L,2.0,,,,,,,,,,T,9,13
6,D,1.0,,,,,,,,,,K,1,
6,L,2.0,15,1,15,D,,,,,,,,
6,L,2.0,15,2,15,D,,,,,,,,
6,D,0.0,-1,,,,T,2,2,0,,,,
6,S,,15,3,1,K,S,3,1,1,,,,
6,M,1.0,,,,,,,,,,K,13,
6,R,2.0,,,,,,,,,,T,13,15
5,S,,15,0,,,,,,,,,,
1,R,2.0,,,,,,,,,,K,15,13
1,R,2.0,8,1,-1,D,,,,,,,,
1,M,1.0,-1,,,,S,1,3,0,,,,
1,S,,15,3,19,E,,,,,,,,
1,S,,11,3,13,K,T,3,2,1,,,,
1,L,2.0,8,2,21,D,,,,,,,,
6,R,2.0,,,,,,,,,,T,13,21
6,S,,11,1,21,K,T,3,1,1,,,,
5,S,,15,1,21,D,,,,,,,,
1,D,0.0,11,3,,,,,,,,,,
1,M,1.0,11,1,,,,,,,,,,
1,S,,21,0,-1,D,,,,,,,,
1,M,2.0,4,0,,,T,2,1,0,,,,
1,S,,21,0,,,,,,,,,,
1,S,,21,1,9,K,B,,,1,,,,
6,M,0.0,21,1,,,,,,,,,,
